"site_id","latitude","longitude","postcode"
"   164",57.16478,-2.12733,"AB"
"   165",57.2995,-2.15601,"AB"
"   166",57.69757,-2.00168,"AB"
"   167",57.32565,-2.00166,"AB"
"   168",57.5067,-1.84189,"AB"
"   169",57.61393,-1.84432,"AB"
"   170",57.50266,-1.77257,"AB"
"   171",56.86798,-2.56434,"AB"
"   173",57.06036,-2.54087,"AB"
"   174",57.0156,-2.50069,"AB"
"   175",57.05331,-2.50779,"AB"
"   176",57.03168,-2.4024,"AB"
"   177",56.85205,-2.26435,"DD"
"   178",56.96882,-2.20562,"AB"
"   179",56.94635,-2.21042,"AB"
"   180",57.01829,-2.16801,"AB"
"   181",56.45699,-3.07182,"DD"
"   182",56.53858,-3.06195,"DD"
"   183",56.47038,-2.93829,"DD"
"   184",56.62546,-2.99805,"DD"
"   185",56.68342,-2.92726,"DD"
"   186",56.65752,-2.77327,"DD"
"   187",56.90662,-2.90542,"DD"
"   188",56.46808,-2.74831,"DD"
"   189",56.50687,-2.72308,"DD"
"   190",56.43649,-2.38439,"DD"
"   191",56.56067,-2.57114,"DD"
"   192",56.68066,-2.45053,"BT"
"   193",56.74615,-2.47911,"DD"
"   194",56.41941,-4.65743,"FK"
"   195",56.41915,-4.65976,"FK"
"   196",56.69279,-4.39986,"PH"
"   197",56.1736,-4.36809,"FK"
"   199",56.22994,-4.26147,"FK"
"   200",56.32089,-4.32707,"FK"
"   201",56.35464,-4.3955,"FK"
"   202",56.48419,-4.36196,"FK"
"   203",56.24204,-4.21575,"FK"
"   204",56.24494,-4.20461,"FK"
"   205",56.52809,-4.11049,"PH"
"   206",56.18948,-3.97577,"FK"
"   207",56.18684,-3.97241,"FK"
"   208",56.33817,-3.87608,"PH"
"   209",56.70661,-4.00934,"PH"
"   210",56.38186,-4.08292,"PH"
"   211",56.28099,-3.74784,"PH"
"   212",56.32645,-3.72734,"PH"
"   213",56.70909,-3.72353,"PH"
"   214",56.71814,-3.76825,"PH"
"   215",56.90089,-3.62726,"PH"
"   216",56.3085,-3.57288,"PH"
"   217",56.41182,-3.47647,"PH"
"   218",56.73481,-3.46966,"PH"
"   219",56.74815,-3.54558,"PH"
"   220",56.3498,-3.47262,"PH"
"   221",56.39888,-3.45669,"PH"
"   222",56.41591,-3.46058,"PH"
"   223",56.43671,-3.37054,"PH"
"   224",56.57899,-3.34312,"PH"
"   225",56.79919,-3.41977,"PH"
"   226",56.21457,-3.41121,"KY"
"   227",56.04796,-3.41774,"KY"
"   228",56.04335,-3.31821,"KY"
"   229",56.16048,-3.32043,"KY"
"   230",56.10801,-3.17711,"KY"
"   231",56.19667,-3.20884,"KY"
"   232",56.31878,-3.03078,"KY"
"   233",56.32531,-2.98972,"KY"
"   234",56.20966,-2.9561,"KY"
"   235",56.37745,-2.86051,"KY"
"   236",56.43862,-2.85803,"DD"
"   237",56.23944,-2.79421,"KY"
"   238",56.34014,-2.80405,"KY"
"   239",56.27937,-2.58471,"PH"
"   240",55.87207,-3.5873,"EH"
"   241",55.87661,-3.54258,"EH"
"   242",55.92388,-3.57167,"EH"
"   243",56.0014,-3.40321,"EH"
"   244",55.87154,-3.36335,"EH"
"   245",55.89224,-3.51441,"EH"
"   246",55.9508,-3.34692,"EH"
"   247",55.94766,-3.30517,"EH"
"   248",55.96766,-3.28341,"EH"
"   249",55.82306,-3.22628,"EH"
"   250",55.8597,-3.20634,"EH"
"   251",55.92306,-3.1897,"EH"
"   252",55.92212,-3.16347,"EH"
"   253",55.96662,-3.21092,"EH"
"   254",55.81295,-3.00859,"EH"
"   255",55.86013,-3.16162,"EH"
"   256",55.99026,-3.17994,"EH"
"   257",55.8854,-2.93852,"EH"
"   258",55.953,-2.77999,"EH"
"   259",56.0513,-2.72256,"EH"
"   260",56.05763,-2.71465,"EH"
